"X1","specimen_number","taxon name","collector","coll_number_prefix","coll_number","coll_number_suffix","collection_date","late_collection_date","verbatim_date","county","elevation","locality","latitude","longitude","datum","source","error_distance","units","citation","doy","new_error_distance"
1577,"RSA721505","Nemophila menziesii var. menziesii","R. G. Swinney",NA,3421,NA,"4/7/1995","4/7/1995",1995-04-07,"San Bernardino","1220m","""flats immediately S of Spring Hill, W of FS Rd 2No4""",34.208866,-117.666543,"WGS84","Google Earth",800,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,0.8
1578,"RSA721602","Nemophila menziesii var. menziesii","R. G. Swinney",NA,3558,NA,"4/29/1995","4/29/1995",1995-04-29,"San Bernardino","945m","""West of Cajon Wash and south of Hwy 138, c. 1 mile SSW of Cajon Junction, off FS road 3N49.""",34.299722,-117.480278,"not recorded","Coordinates provided on label",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",119,NA
1579,"RSA729931","Nemophila menziesii var. menziesii","R. G. Swinney",NA,6025,NA,"4/14/1998","4/14/1998",1998-04-14,"Los Angeles","1512m","""Southern Mojave Desert: 100 m east of mouth of Mescal Canyon, in Mescal Heights area, 50 m E of 237th St. East""",34.423333,-117.714444,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",104,NA
1580,"RSA733445","Nemophila menziesii var. menziesii","R. G. Swinney",NA,7892,NA,"4/18/2001","4/18/2001",2001-04-18,"Los Angeles",NA,"""San Gabriel Mtns./Mojave Desert: Valyermo area, ridge top ca. 500 m east of south end of Bobs Gap""",34.453056,-117.806944,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",108,NA
1581,"RSA745051A","Nemophila menziesii var. menziesii","""LeRoy Gross, Pam DeVries, Otto Gasser""",NA,3651,NA,"3/30/2009","3/30/2009",2009-03-30,"Kern","973m","""West end of the San Emigdio Mountains: Bitter Creek National Wildlife Refuge; Cienaga Canyon, off of Klipstein Canyon Road. Northeast of Cerro Noroeste Road. Near""",34.94695,-119.40093,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",89,NA
1582,"RSA747646","Nemophila menziesii var. menziesii","Pam De Vries",NA,7244,NA,"4/7/2009","4/7/2009",2009-04-07,"Kern","1089m","""Western Transverse Range; San Emigdio Mountains Region; Bitter Creek National Wildlife Preserve, ca. 1.10 miles east northeast of junction of Cerro Noroeste Road and Klipstein Canyon Road.""",34.942661,-119.381445,"WGS84","Google Earth",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,0.5
1583,"RSA751393","Nemophila menziesii var. menziesii","Orlando Mistretta",NA,3541,NA,"4/14/2009","4/14/2009",2009-04-14,"San Bernardino","1701m","""Santa Ana River Canyon, Converse Flats. S of Forest Road 1N04, W of Jct. with Radford Road (Forest Rd. 2N05). Along W edge of flat, E side of Hamilton Creek.""",34.19115,-116.91871,"NAD83","GPS",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",104,NA
1584,"RSA764824","Nemophila menziesii var. menziesii","Stephen Fischer",NA,2104,NA,"3/21/2009","3/21/2009",2009-03-21,"San Bernardino","850m","Etiwanda foothills. Alongside a second-order perennial stream.",34.186072,-117.523128,"WGS84","Google Earth",3,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",80,3
1585,"RSA770697","Nemophila menziesii var. menziesii","""Orlando Mistretta, Duncan S. Bell, Jill Beckman, Joy England, Katie Kane, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4803,NA,"4/12/2010","4/12/2010",2010-04-12,"Riverside","610m","Whitewater Cyn. Along Whitewater River drainage and adjacent slopes below Whitewater Visitor Center (Whitewater Trout Farm).",33.97288,-116.65146,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",102,NA
1586,"RSA770860","Nemophila menziesii var. menziesii","""Orlando Mistretta, Duncan S. Bell, Joy England, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4928,NA,"4/13/2010","4/13/2010",2010-04-13,"Riverside","823m","""Transverse Ranges; San Bernardino Mountains region: Whitewater Canyon. Along Whitewater River drainage and adjacent slopes 1-2 miles above Whitewater Visitor Center (Whitewater Trout Farm)., Between N34.01961, W116.68175 and N34.01041 and W116.67141.""",34.01961,-116.668175,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",103,NA
1587,"RSA772121","Nemophila menziesii var. menziesii","""Orlando Mistretta, Duncan S. Bell, Joy England, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4836,NA,"4/13/2010","4/13/2010",2010-04-13,"Riverside","915m","""Whitewater Canyon. Along Whitewater River drainage and adjacent slopes 0-1 miles above Whitewater Visitor Center (Whitewater Trout Farm); between N34.00456, W116.67238 and N33.99629 and W116.66010.""",34.02559,-116.69098,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",103,NA
1588,"RSA776228","Nemophila menziesii var. menziesii","""Thomas Stoughton, Christi Gabriel, Stephanie Rockwood""",NA,876,NA,"3/29/2011","3/29/2011",2011-03-29,"Riverside","762m","""Haugen Lehmann exit, Pacific Crest Trail up into canyon east of Cottonwood Canyon""",33.95674,-116.66391,"NAD83","GPS",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",88,NA
1589,"RSA77919","Nemophila menziesii var. menziesii","""E. K. Balls, Lee W. Lenz""",NA,17034,NA,"4/16/1952","4/16/1952",1952-04-16,"Tulare","457m","""About Bear Creek, roughly 4 miles north of Springville along North Fork Tule River.""",36.177229,-118.796146,"WGS84","GeoLocate",3.752,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",107,3.752
1590,"RSA784260","Nemophila menziesii var. menziesii","J. D. Olmsted",NA,5333,NA,"6/24/1962","6/24/1962",1962-06-24,"San Bernardino","1585m","""North of Yucaipa ridge along Oak Glen-Forest Home fireroad, SE San Bernardino Mts.""",34.077884,-116.967137,"WGS84","Google Earth",4,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",175,4
1591,"RSA79215","Nemophila menziesii var. menziesii","G. R. Campbell",NA,18513,NA,"3/23/1952","3/23/1952",1952-03-23,"Los Angeles","427m","canyon north of Webb School; east of Live Oak Canyon.",34.129214,-117.742285,"WGS84","Google Earth",800,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",83,0.8
1592,"RSA794025","Nemophila menziesii var. menziesii","""A. C. Sanders, Mihai Costea, T. B. Salvato, Benjamin T. Wilder""",NA,40166,NA,"5/8/2012","5/8/2012",2012-05-08,"San Bernardino","1198m","""Western San Bernardino Mountains: Cajon Pass area, Cleghorn Road (dirt), 2 miles airline east (92 degrees) of Cajon Junction.""",34.311017,-117.438833,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",129,NA
1593,"SBBG108619","Nemophila menziesii var. menziesii","N. Meng",NA,379,NA,"4/30/1967","4/30/1967",1967-04-30,"Kern",NA,"near Tehachapi Loop monument on old Tehachapi Hwy",35.195066,-118.534846,"WGS84","Google Earth",300,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",120,0.3
1594,"SBBG108888","Nemophila menziesii var. menziesii","K. Kirkland",NA,25,NA,"4/12/1991","4/12/1991",1991-04-12,"San Luis Obispo","609 m","""East Cuesta Ridge, 2 mi up East Cuesta Ridge Rd from La Cuesta Summit""",35.339,-120.617,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",102,1
1595,"SBBG110918","Nemophila menziesii var. menziesii","""E. Neese, E. Painter, P. Douglas, R. Smith, N. Hastings""","HL",1128,NA,"4/1/1995","4/1/1995",1995-04-01,"Monterey","300m","""near Sam Jones Rd, ca. 2 km W of San Antonio River, ca. 3.5 km NE of Piojo Valley Reservoir; Ft Hunter Liggett""",35.903,-121.132,NA,"MyTopo",1200,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",91,1.2
1596,"SBBG113301","Nemophila menziesii var. menziesii","""E. Neese, E. Painter, N. Hastings, P. Douglas""","HL",1201,NA,"4/1/1995","4/1/1995",1995-04-01,"Monterey","340m","""above Mission Crk, W of jct of Mission Crk and upper Milpitas Rds, ca. 0.5 km E of Coleman Reservoir; Ft Hunter Liggett""",36.0802,-121.2721,NA,"MyTopo",1200,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",91,1.2
1597,"SBBG114372","Nemophila menziesii var. menziesii","""R. Burgess, P. Munro""",NA,2798,NA,"4/25/1998","4/25/1998",1998-04-25,"Ventura","1219 m","""N of Ballinger Cyn Cmpgrd, adj to main rd""",34.895,-119.413,NA,"MyTopo",2000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",115,2
1598,"SBBG123782","Nemophila menziesii var. menziesii","""E. Neese, E. Painter, R. Smith, C. Popolizio""","HL",1375,NA,"4/6/1995","4/6/1995",1995-04-06,"Monterey","360m","""above Mission Crk, W of jct of Mission Crk and Upper Milpitas Rds, ca. 0.6 km E of Coleman Reservoir, ca. 3.2 km W of Cosio Knob; Ft Hunter Liggett""",36.0802,-121.2721,NA,"MyTopo",1200,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",96,1.2
1599,"SBBG124298","Nemophila menziesii var. menziesii","""R. Burgess, P. Munro""",NA,5702,NA,"4/25/2003","4/25/2003",2003-04-25,"Ventura","1188 m","""Hungry Valley State Vehicular Recreation Area, Gold Hill Rd W of jct with Hungry Valley Rd""",34.733,-118.88,NA,"MyTopo",1500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",115,1.5
1600,"SBBG127800","Nemophila menziesii var. menziesii","""R. Burgess, P. Munro""",NA,5609,NA,"4/5/2003","4/5/2003",2003-04-05,"Ventura","883 m","""N border of Sespe Condor Sanctuary, vicinity of Ant Camp on Agua Blanca Crk""",34.5767,-118.8861,NA,"MyTopo",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",95,0.5
1601,"SBBG13120","Nemophila menziesii var. menziesii","D. Myrick",NA,231,NA,"3/10/1961","3/10/1961",1961-03-10,"Fresno",NA,"Jacalitos Cyn near Coalinga",36.1015,-120.311,NA,"MyTopo",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",69,NA
1602,"SBBG15021","Nemophila menziesii var. menziesii","E. C. Twisselmann",NA,6767,NA,"4/7/1962","4/7/1962",1962-04-07,"San Luis Obispo","601 m","""Goldtree Hills, 0.5 mi SW of Grant Lake""",35.5935,-120.152,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,1
1603,"SBBG20369","Nemophila menziesii var. menziesii","E. R. Chandler",NA,1436,"a","4/3/1964","4/3/1964",1964-04-03,"Santa Barbara","335 m","Colson Cyn",34.942,-120.1995,NA,"MyTopo",5.4,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",94,5.4
1604,"SBBG29932","Nemophila menziesii var. menziesii","L. Constance",NA,2259,NA,"3/24/1940","3/24/1940",1940-03-24,"Fresno","487 m","""Curry Mtn, Waltham Cyn [Warthan Cyn]), 9 mi SW of Coalinga""",36.0942,-120.4711,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",84,1
1605,"SBBG30116","Nemophila menziesii var. menziesii","D. Myrick",NA,1867,NA,"4/30/1968","4/30/1968",1968-04-30,"Kern","1859 m","Rankin Ranch logging rd up Breckenridge Mtn",35.418,-118.579,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",121,1
1606,"SBBG40449","Nemophila menziesii var. menziesii","W. J. Dress",NA,NA,NA,"3/17/1951","3/17/1951",1951-03-17,"Contra Costa",NA,"W of Orinda",37.88,-122.189,NA,"MyTopo",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",76,NA
1607,"SBBG46841","Nemophila menziesii var. menziesii","L. W. Edge",NA,389,NA,"4/11/1973","4/11/1973",1973-04-11,"San Luis Obispo",NA,"St Hwy 58 near Shell Crk",35.4585,-120.3335,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",101,1
1608,"SBBG48273","Nemophila menziesii var. menziesii","H. M. Pollard",NA,NA,NA,"3/14/1973","3/14/1973",1973-03-14,"Santa Barbara",NA,"El Mirasol block between Sola and Micheltorena streets; Santa Barbara",34.4293,-119.706,NA,"MyTopo",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",73,0.5
1609,"SBBG49063","Nemophila menziesii var. menziesii","J. Copeland",NA,1049,NA,"2/17/1974","2/17/1974",1974-02-17,"San Luis Obispo",NA,"""Grand View Mesa, Nipomo""",35.01,-120.48,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",48,1
1610,"SBBG6134","Nemophila menziesii var. menziesii","H. and M. Dearing",NA,5065,NA,"3/10/1945","3/10/1945",1945-03-10,"Madera","1051 m","Bass Lake",37.324,-119.558,NA,"MyTopo",6.5,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",69,6.5
1611,"SBBG64774","Nemophila menziesii var. menziesii","Miss Miner",NA,NA,NA,"3/25/1928","3/25/1928",1928-03-25,"Santa Barbara",NA,"Gaviota Pass",34.4895,-120.225,NA,"GeoLocate",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",85,0.5
1612,"SBBG64776","Nemophila menziesii var. menziesii","R. Hoffmann",NA,NA,NA,"3/29/1929","3/29/1929",1929-03-29,"Santa Barbara",NA,"Buellton to Lompoc",34.664,-120.333,NA,"MyTopo",12,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",88,12
1613,"SBBG81949","Nemophila menziesii var. menziesii","C. F. Smith",NA,2569,NA,"3/18/1950","3/18/1950",1950-03-18,"Kern",NA,"""Soda Lake Rd to Carrizo Plain, ca. 0.8 mi off Hwy 399; near SLO County line""",34.971165,-119.455567,"WGS84","Google Earth",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",77,0.5
1614,"SBBG82088","Nemophila menziesii var. menziesii","C. F. Smith",NA,2725,NA,"4/30/1950","4/30/1950",1950-04-30,"San Luis Obispo","1066 m","""near Carneros Cyn, Temblor Range""",35.422,-119.931,NA,"MyTopo",2000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",120,2
1615,"SBBG82156","Nemophila menziesii var. menziesii","C. F. Smith",NA,3968,NA,"3/24/1955","3/24/1955",1955-03-24,"Ventura",NA,"""Casitas Pass Rd, Ventura River watershed""",34.3884,-119.3605,NA,"MyTopo",2250,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",83,2.25
1616,"SBBG82157","Nemophila menziesii var. menziesii","T. L. Secrest",NA,4107,NA,"4/10/1955","4/10/1955",1955-04-10,"Santa Barbara",NA,"old rd near Zaca Lake towards the Manzana River",34.7832,-120.0169,NA,"MyTopo",2000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",100,2
1617,"SBBG82159","Nemophila menziesii var. menziesii","C. F. Smith",NA,3963,NA,"3/24/1955","3/24/1955",1955-03-24,"Ventura","338m","Casitas Pass; Ventura River watershed",34.386,-119.3804,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",83,1
1618,"SBBG82201","Nemophila menziesii var. menziesii","T. L. Secrest",NA,NA,NA,"4/17/1947","4/17/1947",1947-04-17,"Santa Barbara",NA,"""Happy Cyn, upper Santa Ynez Valley""",34.601,-120.028,NA,"MyTopo",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",107,NA
1619,"SBBG82202","Nemophila menziesii var. menziesii","C. F. Smith",NA,4372,NA,"4/5/1956","4/5/1956",1956-04-05,"Santa Barbara",NA,"""rd near Big Cone Spruce grove on Ranger Pk, E of Figueroa Mtn""",34.7216,-119.9494,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",96,1
1620,"SBBG82204","Nemophila menziesii var. menziesii","C. F. Smith",NA,5491,NA,"5/23/1957","5/23/1957",1957-05-23,"Santa Barbara",NA,"Santa Barbara Potrero",34.774,-119.642,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",143,1
1621,"SBBG82469","Nemophila menziesii var. menziesii","C. F. Smith",NA,4016,NA,"3/25/1955","3/25/1955",1955-03-25,"Santa Barbara",NA,"Campbell Rd ca. 8 mi W of Buellton",34.6515,-120.3135,NA,"MyTopo",500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",84,0.5
1622,"SBBG82606","Nemophila menziesii var. menziesii","C. F. Smith",NA,3880,NA,"4/28/1953","4/28/1953",1953-04-28,"Santa Barbara",NA,"""Graciosa Cyn, S of Orcutt""",34.844,-120.45,NA,"MyTopo",5,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",118,5
1623,"SBBG82607","Nemophila menziesii var. menziesii","C. F. Smith",NA,4109,NA,"4/10/1955","4/10/1955",1955-04-10,"Santa Barbara","792 m","old rd near Zaca Lake towards the Manzana River",34.7832,-120.0169,NA,"MyTopo",2000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",100,2
1624,"SBBG82621","Nemophila menziesii var. menziesii","C. F. Smith",NA,5094,NA,"4/9/1957","4/9/1957",1957-04-09,"Santa Barbara",NA,"""El Camino Cielo, ca. 0.75 mi E of San Marcos Pass""",34.511,-119.809,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",99,1
1625,"SBBG82629","Nemophila menziesii var. menziesii","C. F. Smith",NA,8125,NA,"4/30/1963","4/30/1963",1963-04-30,"Santa Barbara",NA,"lower Colson Cyn",34.941,-120.2073,NA,"MyTopo",2500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",120,2.5
1626,"SBBG82630","Nemophila menziesii var. menziesii","C. F. Smith",NA,4530,NA,"5/16/1956","5/16/1956",1956-05-16,"Santa Barbara","914 m","El Camino Cielo ca. 9 mi W of San Marcos Pass",34.521,-119.915,NA,"MyTopo",2500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",137,2.5
1627,"SD115641","Nemophila menziesii var. menziesii","""Duffie Clemons, Erik Jonsson""",NA,594,NA,"5/14/1983","5/14/1983",1983-05-14,"Imperial","1157 m","""In-Ko-Pah Mountains, south of I-8. (IPB 10/07)""",32.63057,-116.0937,"WGS84","TRS and TOPO!",0.15,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",134,0.241401
1628,"SD133999","Nemophila menziesii var. menziesii","J. F. Copp",NA,12,NA,"4/22/1991","4/22/1991",1991-04-22,"San Diego","929 m","""NE side of Aguanga Mountain, mouth of Blue Canyon, 6.75 mi. NW of Warner Springs P.O. by way of Calif. Hwy. 79.""",33.33144,-116.71249,"WGS84","TOPO! v3.4.2",0.15,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",112,0.241401
1629,"SD157168","Nemophila menziesii var. menziesii","""Jeannie Gregory, John Gregory""",NA,834,NA,"5/2/2004","5/2/2004",2004-05-02,"San Diego","1376 m","""Palomar Mountain Divide Truck Trail, South of Highway 79, nearest town is Oak Grove.""",33.3167,-116.7353,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",123,NA
1630,"SD176707","Nemophila menziesii var. menziesii","Larry Hendrickson",NA,765,NA,"2/24/1997","2/24/1997",1997-02-24,"San Diego","831 m","""San Felipe Valley, approx 5.0 air miles NW of intersection of State Hwy 78 and County Hwy S-2 within the San Felipe Valley Wildlife Area, California Dept. of Fish & Game. 200 feet E of S-2 at SW corner of property.""",33.1403,-116.5297,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",55,NA
1631,"SD176708","Nemophila menziesii var. menziesii","""Margaret R. Mulligan, C. Weigand""",NA,1402,NA,"5/4/2006","5/4/2006",2006-05-04,"San Diego","979 m","""Between Warner Springs and Ranchita on Vista Irrigation District land. South of S-2 (San Felipe Road), approx. 2I(c) mi SE of its junction with SR-79.""",33.2299,-116.6437,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",124,NA
1632,"SD182242","Nemophila menziesii var. menziesii","""Jeannie Gregory, John Gregory""",NA,1389,NA,"4/24/2005","4/24/2005",2005-04-24,"San Diego","1250 m","Aguanga Mountain; Palomar Mountain Divide Truck Trail; Maple Lode Mine; 2I(c) mi SW of Holcomb Village",33.3205,-116.7428,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",114,NA
1633,"SD185718","Nemophila menziesii var. menziesii","Joseph A. Betzler",NA,856,NA,"4/7/2002","4/7/2002",2002-04-07,"San Diego","1135 m","""W of Ranchita on S22, 0.3 mi E of its junction with S2 on south side of road. This site is a barrow pit area highly disturbed.""",33.22,-116.6,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,NA
1634,"SD193848","Nemophila menziesii var. menziesii","""CRES Native Seed Gene Bank, J Dunn, L Lippitt, S Anderson""",NA,34,NA,"3/15/2005","3/15/2005",2005-03-15,"San Diego","1223 m","""Ranchita, 1 mi S of junction of Montezuma Valley Rd (S22) and Wilson Rd, 7 mi NW of junction of HWY 78 and San Felipe Rd (S2)""",33.19458,-116.50812,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",74,NA
1635,"SD195190","Nemophila menziesii var. menziesii","""Jeannie Gregory, John Gregory""",NA,2220,NA,"4/22/2007","4/22/2007",2007-04-22,"San Diego","1168 m","""Warner Springs, Cleveland National Forest, Lost Valley Road 3.8 mi N of Warner Springs (Hwy 79), 3 mi S of Chihuahua Valley Road""",33.34201,-116.64702,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",112,NA
1636,"SD210265","Nemophila menziesii var. menziesii","""Jon P. Rebman, Grant Fletcher, J. Gregory, J. LaGrange, N. Nenow""",NA,19355,NA,"5/26/2010","5/26/2010",2010-05-26,"San Diego","1435 m","Eagles Nest: Fletcher Family Ranch; E of Warner Springs on the SW side of Hot Springs Mountain; at the end on Eagles Nest Road; along dirt road loop ENE of lake",33.28965,-116.58698,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",146,NA
1637,"SD215563","Nemophila menziesii var. menziesii","""Steve Boyd, Timothy S. Ross""",NA,9238,NA,"3/21/1997","3/21/1997",1997-03-21,"Los Angeles","1195 m","""Portal Ridge, upper Broad Canyon, ca. 1.0 mile east of VABM King and 1.2 mile east of the junction of Forest Service Roads 7N07 and 7N07A, along the ridgeline diving Bleich Canyon and Broad Canyon.""",34.70639,-118.48083,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",80,NA
1638,"SD216142","Nemophila menziesii var. menziesii","S. Gill Williamson",NA,26,NA,"3/25/2008","3/25/2008",2008-03-25,"San Diego","32 m","""San Diego, Crest Canyon, I(c) mile W of Interstate 5, 225 yds S of Race Track View Drive, northern section off main trail""",32.96111,-117.25556,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",85,NA
1639,"SD216143","Nemophila menziesii var. menziesii","""Nancy Nenow, Char Glacy""",NA,556,NA,"4/22/2009","4/22/2009",2009-04-22,"San Diego","968 m","""Warner Springs Ranch, about I(c) mi NE of Warner Springs, northeast of horse barn on hiking trail going northeast uphill.""",33.2878,-116.6319,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",112,NA
1640,"SD219886","Nemophila menziesii var. menziesii","Larry Hendrickson",NA,4600,NA,"4/1/2010","4/1/2010",2010-04-01,"San Diego","769 m","""San Felipe Valley Wildlife Area, California Fish & Game property. SW of San Felipe Valley, 1.6 miles ENE of Banner and 3.0 miles WSW of intersection of County Road S-2 and State hwy. 78. S-side of 78.""",33.08049,-116.52357,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",91,NA
1641,"SD220388","Nemophila menziesii var. menziesii","""Barbara Booth, Chris Murphy""",NA,281,NA,"5/1/2010","5/1/2010",2010-05-01,"San Diego","1629 m","""Aguanga Mountain, Cleveland National Forest, along Palomar Mountain Divide Truck Trail, near 5.5 air miles WNW of junction with Highway 79.""",33.34685,-116.79642,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",121,NA
1642,"SD221137","Nemophila menziesii var. menziesii","Nancy Nenow",NA,1087,NA,"5/8/2010","5/8/2010",2010-05-08,"San Diego","1326 m","Cleveland National Forest; Puerta La Cruz Road; about 1 mile SE Mitchell Camp Road and Chihuahua Valley Road; south-east of the junction with Puerta La Cruz Trail.",33.3711,-116.68994,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",128,NA
1643,"SD221139","Nemophila menziesii var. menziesii","Nancy Nenow",NA,1162,NA,"5/20/2010","5/20/2010",2010-05-20,"San Diego","1269 m","Northern San Diego County; along Old Mitchell Camp Road 0.17 mile N of junction with Chihuahua Valley Road",33.38696,-116.68639,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",140,NA
1644,"SD221141","Nemophila menziesii var. menziesii","Nancy Nenow",NA,998,NA,"4/14/2010","4/14/2010",2010-04-14,"San Diego","1206 m","""Cleveland National Forest; Puerta La Cruz Road; 1.4 miles SE Mitchell Camp Road and Chihuahua Valley Road at small, dry riverbed that crosses the road.""",33.36631,-116.67929,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",104,NA
