specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,references,source,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC55254,3334007,1900-02-26,1900,2,25,56,,Flowering/Fruiting,Sacramento,2 mi se Sacramento; se of Sacramento,,,38.45,-121.47,5230,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3334007,cch2,,,,,,,,,
UC72013,3156374,1898-03-26,1898,3,26,85,atomaria,Flowering/Fruiting,Sonoma,near Melita; near Melita,R.R. track,,38.45667,-122.63583,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3156374,cch2,,,,,,,,,
UC1299130,3367836,1947-03-31,1947,3,31,90,,Flowering/Fruiting,Sonoma,"Chimney Rock near Monte Rio; near Monte Rio, Chimney Rock",,,38.502407,-123.05071,3616,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3367836,cch2,,,,,,,,,
SFV112656,613413,1962-03-24,1962,3,24,83,,Flowering,Sacramento,"Sacramento Valley; CA Highway 16 at Eagle's Nest Road, southeast of Sacramento.","Open, grassy meadow with damp, sandy soil.",38,38.51,-121.26,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613413,cch2,,,,,,,,,
UC606952,3155209,1938-04-24,1938,4,24,114,atomaria,Flowering/Fruiting,Sonoma,mouth of small canyon 0.5 mi s Fort Ross; s of Fort Ross,"matted in open, diffuse among grass, open banks in Sequoia-Umbellularia-Pseudotsuga...grove",91,38.51387,-123.23447,1695,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3155209,cch2,,,,,,,,,
UC58514,3154339,1903-04-23,1903,4,23,113,atomaria,Flowering/Fruiting,Sonoma,Fort Ross,,,38.51417,-123.2425,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3154339,cch2,,,,,,,,,
UC24235,3247653,1896-03-15,1896,3,15,75,,Flowering/Fruiting,Sonoma,near Fort Ross; near Fort Ross,,,38.51417,-123.2425,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3247653,cch2,,,,,,,,,
UC126919,3477887,1906-04-17,1906,4,17,107,,Flowering/Fruiting,Napa,,,,38.52,-122.3119,37375,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3477887,cch2,,,,,,,,,
UC1057474,3244509,1940-03-21,1940,3,21,81,,Flowering/Fruiting,Sonoma,2-3 mi se Windsor (Pleasant Avenue Road and Chalk Hill Road); se of Windsor,"open, grassy field",91,38.540382,-122.77343,341,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3244509,cch2,,,,,,,,,
UC545848,3236371,1936-03-15,1936,3,15,75,,Flowering/Fruiting,Napa,Chiles Valley Road 3.2 mi from Pope Valley Store; Chiles Valley Road <nr> Pope Valley Store,wet meadow,,38.5885,-122.40074,750,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3236371,cch2,,,,,,,,,
SFV112653,613401,1974-04-13,1974,4,13,103,,Flowering,Napa,"1 air mile southwest of Pope Valley, just west of Chiles-Pope Valley Road.",,207,38.61,-122.41,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613401,cch2,,,,,,,,,
SFV112652,613400,1965-03-19,1965,3,19,78,,Flowering,Napa,"Field beside Dollarhide Road, about 3-4 miles east of Pope Valley.",,150,38.63,-122.35,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613400,cch2,,,,,,,,,
UC449912,3553174,1917-03-20,1917,3,20,79,,Flowering/Fruiting,Sacramento,Fair Oaks,,,38.64,-121.27,3219,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3553174,cch2,,,,,,,,,
UC1282735,3257956,1952-05-02,1952,5,2,123,,Flowering/Fruiting,Lake,"0.4 mi se Black Oak Villa (in Butts Canyon, 1.1 mi from Lake-Napa County Line on Pope Valley Road); se of Black Oak Villa in Butts Canyon",on 1 yr burn in chaparral on shallow rocky soil; ne facing slope,243,38.71233,-122.47852,254,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3257956,cch2,,,,,,,,,
UC747507,3335234,1943-05-02,1943,5,2,122,,Flowering/Fruiting,El Dorado,"ca 3 mi e Camino (along North Fork Webber Creek); North Fork Webber Creek, e of Camino","open, grassy meadow along creek",914,38.74626,-120.622345,1783,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3335234,cch2,,,,,,,,,
UC24245,3147427,1864-04-01,1864,4,1,92,atomaria,Flowering/Fruiting,Sonoma,Cloverdale,,,38.80556,-123.01611,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3147427,cch2,,,,,,,,,
UC606913,3505309,1938-04-22,1938,4,22,112,,Flowering/Fruiting,Lake,"4 mi sw Lower Lake (on a branch of Cache Creek, North Coast Ranges); North Coast Ranges, sw of Lower Lake, Cache Creek branch",matted in wet soil of open occasionally cultivated field bordered by Quercus agrifolia,457,38.885494,-122.66307,2766,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3505309,cch2,,,,,,,,,
SFV112664,613394,2002-03-17,2002,3,17,76,,Flowering,Lake,Highland Springs Dam. Dry hillside above reservoir on northeast side of road.,"Associated plants included: Quercus wislizeni, Q. douglasii, Adenostoma fasciculatum, and Eriodictyon californicum.",460,38.94,-122.91,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613394,cch2,,,,,,,,,
UC663110,3334771,1938-04-05,1938,4,5,95,,Flowering/Fruiting,Lake,along the ne side Clear Lake ne side of Clearlake (Clear Lake),in moist open woods and hillsides along the ne side lake,,38.971554,-122.610886,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3334771,cch2,,,,,,,,,
UC64755,3164004,1902-06-01,1902,6,1,152,atomaria,Flowering/Fruiting,Lake,Lakeport,,,39.04306,-122.91472,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3164004,cch2,,,,,,,,,
UC1239742,3343355,1949-03-28,1949,3,28,87,,Flowering/Fruiting,Mendocino,halfway between Ukiah and Hopland; between Ukiah and Hopland,moist field,182,39.051235,-123.15399,9830,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3343355,cch2,,,,,,,,,
UC1239744,3428645,1902-05-30,1902,5,30,150,,Flowering/Fruiting,Lake,"6 mi nw Lakeport (in hills about Scotts Valley); hills about Scotts Valley, nw of Lakeport",in hills,426,39.099266,-122.95915,4358,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3428645,cch2,,,,,,,,,
UC24240,3308872,1898-04-13,1898,4,13,103,,Flowering/Fruiting,Mendocino,Ukiah,,,39.144787,-123.2056,3238,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3308872,cch2,,,,,,,,,
SFV112655,613412,1965-04-11,1965,4,11,101,,Flowering,Sutter,Sacramento Valley; 1 mile north of Marysville on Highway 99E. Roadside.,,20,39.18,-121.63,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613412,cch2,,,,,,,,,
UC595056,3505253,1938-05-01,1938,5,1,121,,Flowering/Fruiting,Lake,Bartlett Springs,on gravelly flat among Pinus sabiniana,,39.18314,-122.70256,93,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3505253,cch2,,,,,,,,,
UC1069200,3268936,1934-03-11,1934,3,11,70,,Flowering/Fruiting,Sutter,"1 mi sw Union School; Marysville Buttes Quad., sw of Union School",Veg. Type: Grass; flat slope,22,39.2011,-121.7344,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3268936,cch2,,,,,,,,,
UC1069167,3561799,1934-03-21,1934,3,21,80,,Flowering/Fruiting,Sutter,1 mi n West Butte; Marysville Buttes Quadrangle,"Veg. Type: Grassland, w slope",106,39.2444,-121.846,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3561799,cch2,,,,,,,,,
UC1239740,3190580,1938-04-16,1938,4,16,106,,Flowering/Fruiting,Mendocino,"6 mi n Calpella (Redwood Valley); n of Calpella, Redwood Valley",,213,39.313034,-123.215904,3232,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3190580,cch2,,,,,,,,,
UC1245408,3453090,1936-03-29,1936,3,29,89,,Flowering/Fruiting,Mendocino,nr top hill between Ukiah and Willits (sw side); nr top hill between Ukiah and Willits,near top hill,,39.328804,-123.3016,4841,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3453090,cch2,,,,,,,,,
UC24239,3394094,1899-05-26,1899,5,26,146,,Flowering/Fruiting,Mendocino,"3 mi s Willits (near the schoolhouse); North Coast Ranges, s of Willits",under shade of trees near the schoolhouse,,39.37227,-123.32038,3772,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3394094,cch2,,,,,,,,,
SFV112674,613411,1961-06-23,1961,6,23,174,integrifolia,Flowering,Mendocino,North Coast Ranges; 5 miles west of Willits on CA-Highway 20.,,525,39.4,-123.4,1000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613411,cch2,,,,,,,,,
SFV112661,613409,1962-04-08,1962,4,8,98,,Flowering,Butte,"Lave outcropping on Table Mountain, north of Oroville.",,,39.6,-121.5,10000,,,,http://cch2.org/portal/collections/individual/index.php?occid=613409,cch2,,,,,,,,,
UC107227,3162231,1897-03-03,1897,3,3,62,,Flowering/Fruiting,Butte,"near Clear Creek; ; near Clear Creek, Butte Co.",,53,39.605797,-121.68332,415,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3162231,cch2,,,,,,,,,
UC196340,3503768,1914-02-16,1914,2,16,47,,Flowering/Fruiting,Butte,8 mi n Oroville; n of Oroville,"Grassy places clay soil, red clay, low hills, blw Quercus Douglasii belt w/Trifolium & Plagiobothrys",,39.612827,-121.60595000000001,6450,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3503768,cch2,,,,,,,,,
UC606912,3419800,1938-05-01,1938,5,1,121,,Flowering/Fruiting,Tehama,"low hills at Paskenta (Inner North Coast Ranges); , Paskenta",among luxurious annual grasses under scattered Quercus lobata,304,39.8468,-122.5944,1350,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3419800,cch2,,,,,,,,,
UC1116246,3378893,1948-05-31,1948,5,31,152,,Flowering/Fruiting,Humboldt,Harris,abundant under oaks,609,40.0844,-123.6593,500,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3378893,cch2,,,,,,,,,
UC1239751,3233426,1923-03-17,1923,3,17,76,,Flowering/Fruiting,Humboldt,vicinity Garberville; vicinity of Garberville,,121,40.0899,-123.797,150,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3233426,cch2,,,,,,,,,
UC562584,3151891,1932-05-01,1932,5,1,122,atomaria,Flowering/Fruiting,Humboldt,Redway,under scattering oaks,182,40.12076,-123.82117,2427,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3151891,cch2,,,,,,,,,
UC1245395,3253508,1932-06-17,1932,6,17,169,,Flowering/Fruiting,Trinity,Three Forks Mad River,shade,,40.1657,-123.226006,1204,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3253508,cch2,,,,,,,,,
UC494164,3157448,1930-05-25,1930,5,25,145,atomaria,Flowering/Fruiting,Humboldt,Laribee Valley,growing under scattered trees,762,40.4433,-123.6821,744,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3157448,cch2,,,,,,,,,
UC562585,3162629,1932-05-10,1932,5,10,131,atomaria,Flowering/Fruiting,Humboldt,"Bear River Ridge , Bear River Ridge (Northern Coast Ranges)",on open grassy hills,609,40.4599,-124.2052,1468,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3162629,cch2,,,,,,,,,
UC146182,3157891,1906-05-06,1906,5,6,126,atomaria,Flowering/Fruiting,Humboldt,"near Hydesville; Northern Coast Region, near Hydesville",,60,40.5432,-124.1006,2000,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3157891,cch2,,,,,,,,,
UC449915,3156313,1914-05-15,1914,5,15,135,atomaria,Flowering/Fruiting,Trinity,near Weaverville; near Weaverville,on a grassy bank,624,40.73111,-122.94083,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3156313,cch2,,,,,,,,,
UC177171,3154047,1913-05-04,1913,5,4,124,atomaria,Flowering/Fruiting,Humboldt,"Kneeland Prairie Northern Coast Ranges, Kneeland Prairie",,762,40.76145935,-123.9930191,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3154047,cch2,,,,,,,,,
UC146183,3158998,1908-06-09,1908,6,9,161,atomaria,Flowering/Fruiting,Humboldt,"Kneeland Prairie Northern Coast Ranges, Kneeland Prairie",,762,40.76145935,-123.9930191,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3158998,cch2,,,,,,,,,
UC1103815,3160010,1926-05-15,1926,5,15,135,atomaria,Flowering/Fruiting,Humboldt,Kneeland Prairie,,762,40.76145935,-123.9930191,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3160010,cch2,,,,,,,,,
UC562587,3147768,1933-04-22,1933,4,22,112,atomaria,Flowering/Fruiting,Del Norte,Coast Bluffs 5 mi s Crescent City; Coast Bluffs 5 mi s of Crescent City,Coast Bluffs,152,41.749508,-124.194595,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3147768,cch2,,,,,,,,,
UC630489,3152480,1938-05-01,1938,5,1,121,atomaria,Flowering/Fruiting,Del Norte,"Darlingtonia , Darlingtonia (Smith River)",in open wet places & semi-shaded areas,121,41.836933,-123.94048,9669,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3152480,cch2,,,,,,,,,
UC1541385,3155706,1934-05-01,1934,5,1,121,atomaria,Flowering/Fruiting,Del Norte,"Darlingtonia , Darlingtonia (Smith River)",,,41.836933,-123.94048,9669,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3155706,cch2,,,,,,,,,
UC410629,3150725,1928-03-29,1928,3,29,89,atomaria,Flowering/Fruiting,Del Norte,flats near Adams Station; near Adams Station,,,41.84278,-123.99139,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3150725,cch2,,,,,,,,,
UC284100,3147998,1904-04-01,1904,4,1,92,integrifolia,Flowering/Fruiting,Los Angeles,Monrovia,,,34.150335,-117.995178,5777,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3147998,cch2,,,,,,,,,
UC111549,3148469,1906-07-15,1906,7,15,196,integrifolia,Flowering/Fruiting,San Bernardino,"Upper Santa Ana Canyon San Bernardino Mountains, Upper Santa Ana Canyon",Transition zone,1402,34.139683,-117.032925,6418,CPA,"Very broad; ""upper santa ana canyon"" now refers to the section above the Seven Oaks Dam, but that dam was not in place when this specimen was collected",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148469,cch2,,,,,,,,,
UC131457,3149587,1904-04-22,1904,4,22,113,integrifolia,Flowering/Fruiting,Los Angeles,Monrovia,,,34.150335,-117.995178,5777,CPA,"Duplicate, but separate dates so it stays",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149587,cch2,,,,,,,,,
UC1103811,3150629,1922-05-29,1922,5,29,149,atomaria,Flowering/Fruiting,Humboldt,"South Yager Creek Valley Northern Coast Ranges, South Yager Creek Valley",,762,40.538285,-124.071867,2724,"DC, DG",Update: GEOLocate provides a good point. Too broad,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3150629,cch2,,,,,,,,,
UC923127,3151384,1950-04-23,1950,4,23,113,integrifolia,Flowering/Fruiting,San Bernardino,"one mi from Miller Canyon Public Camp (on road to Cajon from Big Bear); <nr> Miller Canyon Public Camp, rd to Cajon from Big Bear",,,34.307121,-117.326287,2479,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151384,cch2,,,,,,,,,
UC697772,3151922,1943-04-03,1943,4,3,93,integrifolia,Flowering/Fruiting,Los Angeles,"Tanbark Flat San Gabriel Mts., Tanbark Flat",sunny bank,822,34.202301,-117.757719,7515,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3151922,cch2,,,,,,,,,
UC64756,3152227,1902-04-01,1902,4,1,91,atomaria,,Del Norte,Smith River,,,41.831859,-124.105002,10661,DC,"Update: Placed point at midpoint of Smith River, set error to edges (including town) (DG). Unsure if collector is referring to the river or the town; too broad",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3152227,cch2,,,,,,,,,
UC67151,3153055,1899-03-01,1899,3,1,60,atomaria,Flowering/Fruiting,Sonoma,"near Kenwood (Dr. Turk Canyon); Dr Turk Canyon, near Kenwood",,,38.4138,-122.546094,3161,"DC, DG","Update: centered in Kenwood, error distance at halfway to nearest named place. Too broad",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153055,cch2,,,,,,,,,
UC1237966,3153445,1961-02-17,1961,2,17,48,atomaria,Flowering/Fruiting,Napa,2.6 mi s Napa State Hospital (in a pasture beside State Highway 12); s of Napa State Hospital,in wet soil around a vernal pool supplied by sm stream at this time of yr but dry later; in pasture,,38.242628,-122.264757,1626,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153445,cch2,,,,,,,,,
UC24256,3153511,1898-03-01,1898,3,1,60,atomaria,Flowering/Fruiting,Sonoma,Cloverdale,,,38.797301,-123.017051,2416,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153511,cch2,,,,,,,,,
UC562582,3153547,1923-04-15,1923,4,15,105,atomaria,Flowering/Fruiting,Humboldt,"at Berry's North Coast Ranges, , Berry's (Redwood Creek)",,274,41.29981,-124.038709,2562,"DC, DG","Update: Put point b/w Redwood Creek and Bald Hills Rd, in vicinity of Berry Glen (""Berry's""). Set error to encompass area just north of Berry Glen (DG). Collections includes ""bald hill""; bald hill road runs parallel to Redwood river",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3153547,cch2,,,,,,,,,
UC203959,3154060,1918-04-07,1918,4,7,97,atomaria,Flowering/Fruiting,Humboldt,"Moonstone Beach Northern Coast Ranges, Little River, Moonstone Beach (mouth of Little River, grassy slopes facing ocean)","on grassy slopes facing ocean, mouth of river",15,41.028052,-124.109676,253,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3154060,cch2,,,,,,,,,
UC449913,3154085,1891-04-01,1891,4,1,91,,Flowering/Fruiting,Fresno,Alcalde,,,36.149237,-120.427292,6139,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3154085,cch2,,,,,,,,,
UC249525,3155164,1922-04-30,1922,4,30,120,atomaria,Flowering/Fruiting,Humboldt,"near Willow Creek (Trinity River Valley); Northern Coast Ranges, , nr Willow Creek",,152,40.936055,-123.618422,6853,DC,Refined error to encompass all of WIllow Creek (DG),WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3155164,cch2,,,,,,,,,
UC1239752,3156233,1923-04-01,1923,4,1,91,atomaria,Flowering/Fruiting,Humboldt,"3 mi e Blue Lake (Mankin Place); e of Blue Lake, Mankin Place",grassy slope,274,40.931712,-123.912717,4491,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3156233,cch2,,,,,,,,,
UC1745798,3157404,1938-05-18,1938,5,18,138,atomaria,Flowering/Fruiting,Marin,Marsh at summit of road 2.5 mi. W of Inverness. Pt. Reyes.,,,38.10396,-122.902505,488,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3157404,cch2,,,,,,,,,
UC562583,3159069,1926-05-09,1926,5,9,129,atomaria,Flowering/Fruiting,Humboldt,Valley of South Yager Creek,,762,40.538285,-124.071867,2724,"DC, DG","Update: copied lat, long, error from 'UC1103811' (Row 326) - has essentially the same locality but different colleciton dates (DG). Too broad",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3159069,cch2,,,,,,,,,
UC249523,3159339,1922-05-28,1922,5,28,148,atomaria,Flowering/Fruiting,Humboldt,Little River Beach Northern Coast Ranges,,6,41.016956,-124.109178,1451,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3159339,cch2,,,,,,,,,
UC24259,3160669,1902-05-06,1902,5,6,126,integrifolia,Flowering/Fruiting,Ventura,Casitas Pass,on shaded banks,182,34.405563,-119.505313,1360,DC,Not in Ventura County; on the edge but in Santa Barbara County,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3160669,cch2,,,,,,,,,
UC1239754,3161177,1927-04-23,1927,4,23,113,atomaria,Flowering/Fruiting,Humboldt,Trinidad Trinidad (on coast bluffs),grassy places on coast bluffs,3,41.059291,-124.143125,1104,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161177,cch2,,,,,,,,,
UC131451,3161745,1904-04-25,1904,4,25,116,integrifolia,Flowering/Fruiting,San Diego,along Santa Margarita R.; along Santa Margarita R,canyons along river,,33.318427,-117.333433,1007,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161745,cch2,,,,,,,,,
UC24258,3161809,1894-03-22,1894,3,22,81,atomaria,Flowering/Fruiting,San Mateo,,,,37.766049,-122.406513,1875,DC,Collector states between mission dolores and the sea,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161809,cch2,,,,,,,,,
UC880918,3161918,1933-05-14,1933,5,14,134,,Flowering/Fruiting,Tulare,"1 8/10 mi above Control Station (Balch Park Road, w slope Sierra Nevada); w slope Sierra Nevada, above Control Station","Arid Transition Zone: -- Kellogg Oak Belt, sun, loam, open meadow",1005,36.230126,-118.679623,324,DC,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3161918,cch2,,,,,,,,,
UC1073323,3162757,1955-03-05,1955,3,5,64,atomaria,Flowering/Fruiting,Marin,open pinnacles just e lighthouse (seaward end Pt. Reyes); seasward end Pt. Reyes,open pinnacles just e of lighthouse,167,37.997007,-122.993494,2648,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3162757,cch2,,,,,,,,,
UC177199,3162844,1913-06-13,1913,6,13,164,atomaria,Flowering/Fruiting,Humboldt,"opposite Buck Mountain (in valley of Van Duzen River); Northern Coast Ranges, in valley Van Duzen River, Buck Mt",,762,40.464609,-123.552677,6693,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3162844,cch2,,,,,,,,,
UC24262,3163397,1899-05-01,1899,5,1,121,atomaria,Flowering/Fruiting,Humboldt,"Hoopa Valley North-Western California, Hoopa Valley",,,41.059452,-123.680556,5226,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3163397,cch2,,,,,,,,,
UC1541101,3185266,1950-03-18,1950,3,18,77,,Flowering/Fruiting,Kern,"about 0.8 mi off Highway 399 (along Soda Lake Road to Carrizo Plain, near San Luis Obispo County line); along Soda Lake Road to Carrizo Plain",,,34.971215,-119.456051,730,CPA,"Update: heading towards Carrizo Plain from a highway located in Kern county - research suggests portion of Hwy 33 was once 399. Measured along Soda Lake road twoard Carrizo plain off of hwy 33 and set error  halfway to hwy 33 (DG). Unclear; Highway 399 no longer exists. It was replaced by Route 33, which is more than 8 miles away from Soda Lake Rd. Soda Lake Rd is also in SLO county, not Kern county",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3185266,cch2,,,,,,,,,
UC606905,3187817,1938-04-02,1938,4,2,92,,Flowering/Fruiting,Monterey,"5 mi n Jamesburg (Hastings Reservation, Carmel Valley); South Coast Ranges, Carmel Valley, Hastings Reservation",grassy n slope in Quercus agrifolia,548,36.442199,-121.59022,4000,CPA,"Meausred 5 min N Jamesburg, set error halfway to town (DG). coordinates refer to Hastings Reserve, which is not 5 mi n of Jamesburn",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3187817,cch2,,,,,,,,,
UC660076,3188037,1940-04-04,1940,4,4,95,,Flowering/Fruiting,Sacramento,ne Sacramento; ne of Sacramento,moist meadow,,38.666709,-121.385981,11113,CPA,Broad,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3188037,cch2,,,,,,,,,
UC880916,3189129,1915-05-01,1915,5,1,121,,Flowering/Fruiting,Sonoma,Mt. St. Helena,,,38.668914,-122.632823,2094,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3189129,cch2,,,,,,,,,
UC571711,3212257,1933-03-30,1933,3,30,89,,Flowering/Fruiting,Santa Clara,"Arroyo Mocho near headwaters (Mount Hamilton Range); , Arroyo Mocho",wooded slope,,38.790259,-121.551527,4894,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3212257,cch2,,,,,,,,,
UC1021938,3219940,1954-04-15,1954,4,15,105,,Flowering/Fruiting,Placer,Auburn-Folsom Road eight mi s Auburn; s of Auburn,,,38.802066,-121.131876,1000,DG,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3219940,cch2,,,,,,,,,
UC444997,3223700,1931-04-01,1931,4,1,91,,Flowering/Fruiting,Kern,Greenhorn Mts.--foot. toward Porterville,,,36.091868,-118.874632,9629,CPA,Broad,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3223700,cch2,,,,,,,,,
UC184397,3247160,1902-04-01,1902,4,1,91,,Flowering/Fruiting,Monterey,Del Monte,,,36.600793,-121.86912,1022,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3247160,cch2,,,,,,,,,
UC1211139,3257807,1912-04-30,1912,4,30,121,,Flowering/Fruiting,Los Angeles,Mt. Wilson; creek,creek,1219,34.220148,-118.051503,2436,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3257807,cch2,,,,,,,,,
UC606904,3261247,1938-04-01,1938,4,1,91,,Flowering/Fruiting,Santa Clara,"near Morgan Hill (se base of El Toro, Santa Cruz Mountains); South Coast Ranges, Santa Cruz Mountains, El Toro",partial shade of toxicodendron diversilobum & Quercus agrifolia,243,37.112799,-121.664726,870,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3261247,cch2,,,,,,,,,
UC75161,3274137,1903-04-06,1903,4,6,96,,Flowering/Fruiting,San Francisco,"San Bruno hills , San Bruno hills (San Francisco)","common on moist, grassy slopes",,37.6874,-122.4355,3995,"CPA, DG",updated marker center to San Bruno Mtn (DG),WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3274137,cch2,,,,,,,,,
UC564183,3285356,1935-03-29,1935,3,29,88,,Flowering/Fruiting,San Luis Obispo,"two mi s Simmler; Carriso Plain, s of Simmler",depression in field--uncultivated,,35.321999,-119.985097,1317,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3285356,cch2,,,,,,,,,
UC753438,3286534,1946-04-23,1946,4,23,113,,Flowering/Fruiting,Santa Barbara,n side Figueroa Mountain,"brush pile, dry sandy soil of grassy roadside, Pinus coulteri woodland",1219,34.746667,-119.984027,725,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3286534,cch2,,,,,,,,,
UC24238,3296490,1899-02-22,1899,2,22,53,,Flowering/Fruiting,Alameda,"Baldy Peak Berkeley, Baldy Peak (Berkeley, north-western Alameda County)",,,37.883677,-122.221921,214,CPA,"Assumed ""Baldy Peak"" is a misspelling of ""Bald Peak"", which has since been renamed ""Vollmer Peak""",WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3296490,cch2,,,,,,,,,
UC1222905,3306845,1950-04-20,1950,4,20,110,,Flowering/Fruiting,Humboldt,1/2 mi w Dinsmore's; w of Dinsmore's,in oak openings,,40.491234,-123.617718,493,CPA,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3306845,cch2,,,,,,,,,
UC1239755,3306958,1923-06-03,1923,6,3,154,,Flowering/Fruiting,Humboldt,"near Dsn McBride Place (Kneeland Prairie); , near Dan McBride Place",,762,40.764606,-123.997783,2154,CPA,Road not found; error radius covers entire Kneeland area,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3306958,cch2,,,,,,,,,
