X1,specimen_number,taxon name,collector,coll_number_prefix,coll_number,coll_number_suffix,collection_date,late_collection_date,verbatim_date,county,elevation,locality,latitude,longitude,datum,source,error_distance,units,citation,doy,new_error_distance_m
1525,RSA0042499,Nemophila menziesii var. menziesii,"""Ed Kentner, Onkar Singh""",NA,368,NA,4/4/2014,4/4/2014,4/4/2014,Los Angeles,1126m,"""Western Mojave Desert, approx. 3.3 km northeast of Valyermo along Bob's Gap Road approx. 1.6 km southeast of the aqueduct""",34.46542,-117.82326,WGS84,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),94,NA
1526,RSA0067586,Nemophila menziesii var. menziesii,"""Erika M. Gardner, Rachel Poutasse""",NA,855,NA,4/26/2014,4/26/2014,4/26/2014,Kern,1222m,Scodie Canyon. At the end of the U.S. Fish and Wildlife Ecological Reserve.,35.64018,-118.18436,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),116,NA
1527,RSA0068234,Nemophila menziesii var. menziesii,"""George K. Helmkamp, E. A. Helmkamp""",NA,18636,NA,3/22/2012,3/22/2012,3/22/2012,Amador,270m,"""Bell Road, 0.2 mile east of its junction with CA-49.""",38.54139,-120.84472,not recorded,Collector GPS,1000,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),82,1000
1528,RSA0073849,Nemophila menziesii var. menziesii,"""Erika M. Gardner, Naomi S. Fraga""",NA,1379,NA,3/21/2015,3/21/2015,3/21/2015,Kern,1028m,"""Near Rocky Point, small canyon south of Cane Canyon. East of Kelso Valley Road. South of old mining road.""",35.57886,-118.23388,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,NA
1529,RSA0073853,Nemophila menziesii var. menziesii,"""Erika M. Gardner, Sierra Sutton""",NA,1214,NA,3/7/2015,3/7/2015,3/7/2015,Kern,1203m,"""Horse Canyon. West side of canyon, near the mouth of the canyon. Near primitive campsite.""",35.54837,-118.04398,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),66,NA
1530,RSA0094763,Nemophila menziesii var. menziesii,"""Jim M. Andre, Tasha La Doux, J. Mark Porter""",NA,31101,NA,3/31/2015,3/31/2015,3/31/2015,San Bernardino,1148m,"""Little San Bernardino Mountains; along dirt road in Water Canyon, 1.3 mi west of Pioneertown Rd, approx 5 mi. NW of Yucca Valley.""",34.130967,-116.4915,NAD83,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,NA
1531,RSA0105076,Nemophila menziesii var. menziesii,"""Daphne K. Christopher, Hannah Stevens""",NA,97,NA,4/4/2003,4/4/2003,4/4/2003,Riverside,536m,"""UC Riverside, Motte Rimrock Reserve. Off Sage Rd.""",33.808217,-117.260333,not recorded,Coordinates from hand-held GPS,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),94,NA
1532,RSA10160,Nemophila menziesii var. menziesii,Carl B. Wolf,NA,1988,NA,5/6/1928,5/6/1928,5/6/1928,Lake,NA,6 mi. from Clear Lake on the Bartlett Springs Grade. (Morrison Garden),39.13635,-122.7705,WGS84,GoogleMaps via BerkeleyMapper (copied from RSA10807),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,1000
1533,RSA10775,Nemophila menziesii var. menziesii,Carl B. Wolf,NA,2043,NA,5/6/1928,5/6/1928,5/6/1928,Lake,NA,3 miles west of Bartlett Springs on the road to Clear Lake.,39.16637,-122.74145,WGS84,GoogleMaps via BerkeleyMapper (copied from DS186211),500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,500
1534,RSA113487,Nemophila menziesii var. menziesii,"""P. A. Munz, W. Kinch""",NA,20597,NA,5/6/1955,5/6/1955,5/6/1955,Monterey,1311m,"""2 miles west of China Camp, Santa Lucia Mountains""",36.2742,-121.5045,WGS84,GoogleMaps via BerkeleyMapper (copied from UC1075883),428,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),126,428
1535,RSA15266,Nemophila menziesii var. menziesii,Carl B. Wolf,NA,230,NA,3/2/1927,3/2/1927,3/2/1927,San Mateo,NA,Above Searsville Lake.,37.404068,-122.236617,WGS84,Geolocate (copied from RSA15267),1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),61,1000
1536,RSA201829,Nemophila menziesii var. menziesii,Gary W. Elmstrom,NA,8,NA,3/19/1965,3/19/1965,3/19/1965,Napa,NA,"""Open meadow along Dollarhide Road, 3.5 miles east of Pope Valley.""",38.60634,-122.36959,WGS84,GoogleMaps via BerkeleyMapper,910,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),78,910
1537,RSA222969,Nemophila menziesii var. menziesii,Gerald L. Benny,NA,442,NA,4/28/1971,4/28/1971,4/28/1971,San Bernardino,915m,"""Day Canyon, San Bernardino National Forest.""",34.1773,-117.5361,WGS84,GoogleMaps via BerkeleyMapper (copied from RSA222914),800,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),118,800
1538,RSA226234,Nemophila menziesii var. menziesii,Gary D. Cromwell,NA,574,NA,4/21/1971,4/21/1971,4/21/1971,Los Angeles,NA,"""Mystic Canyon, 2 mi. NE of Glendora, about 1 m above creek bed""",34.171076,-117.828525,WGS84,Google Earth,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),111,500
1539,RSA240754,Nemophila menziesii var. menziesii,Robert F. Thorne,NA,43016,NA,4/20/1973,4/20/1973,4/20/1973,Los Angeles,1143m,San Gabriel Mountains.,34.618611,-118.415556,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),110,NA
1540,RSA247113,Nemophila menziesii var. menziesii,Gary D. Wallace,NA,130,NA,3/12/1966,3/12/1966,3/12/1966,Los Angeles,610m,"""San Gabriel Mountains; north of Arcadia; Chantry Flats, up Santa Anita Canyon.""",34.195566,-118.022342,WGS84,Google Earth,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),71,500
1541,RSA250674,Nemophila menziesii var. menziesii,Robert F. Thorne,NA,41426,NA,4/2/1971,4/2/1971,4/2/1971,Los Angeles,549m,"""Johnson's PastureAs, N. of Mountain Avenue, Claremont.""",34.134621,-117.731194,NAD83,TOPO!,400,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),92,400
1542,RSA276027,Nemophila menziesii var. menziesii,Jack Delaini,NA,67,NA,3/11/1974,3/11/1974,3/11/1974,Los Angeles,549m,Lodi Canyon.,34.163329,-117.781409,WGS84,Google Earth,1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),70,1000
1543,RSA296068,Nemophila menziesii var. menziesii,Cora W. Benson,NA,9,NA,4/10/1935,4/10/1935,4/10/1935,Lake,NA,Kelseyville,38.978,-122.8394,WGS84,GoogleMaps via BerkeleyMapper (copied from POM284614),3.274,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,3274
1544,RSA296798,Nemophila menziesii var. menziesii,Lyman Benson,NA,12295,NA,4/16/1947,4/16/1947,4/16/1947,San Bernardino,1402m,"""Edge of Mojave desert, 10 miles northwest of Cajon.""",34.36437,-117.50296,NAD83,TOPO!,6400,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),106,6400
1545,RSA346564,Nemophila menziesii var. menziesii,Barry Burnell,NA,391,NA,5/9/1971,5/9/1971,5/9/1971,San Bernardino,793m,"""Lytle Creek Road 1/2 mile above the Pennstock Firebreak, Lytle Creek to Pacific Slope drainage""",34.206467,-117.455133,WGS84,Google Earth,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),129,500
1546,RSA346567,Nemophila menziesii var. menziesii,Barry Burnell,NA,242,NA,3/18/1971,3/18/1971,3/18/1971,Los Angeles,480m,"""San Dimas Canyon, 6.2 miles from the intersection of Foothill and San Dimas Canyon Rd.""",34.176391,-117.754213,WGS84,GoogleEarth (copied from POM346598),300,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),77,300
1547,RSA381419,Nemophila menziesii var. menziesii,"""Robert F. Thorne, C. W. Tilforth""",NA,39566,NA,5/24/1971,5/24/1971,5/24/1971,Fresno,442m,Foothills of Sierra Nevada: ca. 2 miles beyond turn-off to Maxon Road.,36.906227,-119.268642,WGS84,GeoLocate (copied from SEINET3917576),300,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),144,300
1548,RSA421297,Nemophila menziesii var. menziesii,C. R. Parks,NA,102,NA,2/9/1963,2/9/1963,2/9/1963,Los Angeles,1159m,"""on upper trail of Winter Creek, above Chantry Flats in Santa Anita Canyon.""",34.203646,-118.043156,WGS84,Google Earth,1,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),40,1000
1549,RSA421309,Nemophila menziesii var. menziesii,Donald R. Bissing,NA,32,NA,3/29/1973,3/29/1973,3/29/1973,Los Angeles,713m,"""Evey Canyon, San Gabriel Mtns, along roadside in open grassy area of mixed evergreen forest. 0.3 miles from mouth of canyon""",34.166069,-117.683611,WGS84,GoogleEarth (copied from RSA240667),150,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),88,150
1550,RSA421311,Nemophila menziesii var. menziesii,E. Crow,NA,248,NA,2/29/1928,2/29/1928,2/29/1928,Los Angeles,NA,"""ThompsonAs Creek, Hills N of Claremont.""",34.130668,-117.719666,WGS84,Google Earth,2,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),60,2000
1551,RSA421316,Nemophila menziesii var. menziesii,John P. Hill,s.n.,NA,NA,4/29/1929,4/29/1929,4/29/1929,Los Angeles,NA,Verdugo Woodland,34.16667,-118.23342,WGS84,CalTopo 1915-1945 (copied from RSA368355),2,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),119,2000
1552,RSA421351,Nemophila menziesii var. menziesii,Jane Shank,NA,17464,NA,4/9/1933,4/9/1933,4/9/1933,Mariposa,NA,Raymond,37.217168,-119.905438,WGS84,GeoLocate (copied from POM361699),3.36,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,3360
1553,RSA421368,Nemophila menziesii var. menziesii,M. V. Hood,s.n.,NA,NA,3/25/1945,3/25/1945,3/25/1945,San Diego,610m,Cottonwood Creek near Aguanga,33.42605,-116.8679,WGS84,TOPO! (copied from RSA401741),1.61,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,1610
1554,RSA421370,Nemophila menziesii var. menziesii,N. C. Cooper,NA,2341,NA,4/14/1947,4/14/1947,4/14/1947,San Diego,1067m,San Felipe.,33.1992,-116.5986,WGS84,(copied from SD18611),1,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),104,1609.34
1555,RSA509552,Nemophila menziesii var. menziesii,"""S. J. Myers, Ed LaRue""",s.n.,NA,NA,3/17/1989,3/17/1989,3/17/1989,Los Angeles,884m,"""Palmdale area, Elizabeth Lake Road at California Aqueduct. San Andreas rift zone bisects the site.""",34.583333,-118.166667,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),76,NA
1556,RSA51250,Nemophila menziesii var. menziesii,Peter H. Raven,NA,1454,NA,3/18/1950,3/18/1950,3/18/1950,San Francisco,76m,Bayview Hills.,37.7147,-122.3908,NAD27,"""""""Terrain Navigator 1:24,0000 (copied from UC891204)""""""",0.484,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),77,778.92056
1557,RSA523374,Nemophila menziesii var. menziesii,G. H. True,NA,48,NA,3/6/1935,3/6/1935,3/6/1935,Los Angeles,945m,4 miles west of Palmdale,34.584766,-118.188557,WGS84,Google Earth,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),65,500
1558,RSA523544,Nemophila menziesii var. menziesii,"""Steve Boyd, T. S. Ross, L. Arnseth, Jaime Bonilla""",NA,4004,NA,4/2/1990,4/2/1990,4/2/1990,Riverside,488m,"""Vail Lake area, lower slopes of Agua Tibia Mtn, along Hwy 79, E of USFWS Dripping Springs Guard Station.""",33.464167,-116.956944,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),92,NA
1559,RSA575133,Nemophila menziesii var. menziesii,R. G. Swinney,NA,2726,NA,4/5/1994,4/5/1994,4/5/1994,San Bernardino,701m,1.1 mile W of Glen Helen Road on FS Road 3N31 (Apple White Road),34.208333,-117.415278,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,NA
1560,RSA584034,Nemophila menziesii var. menziesii,Tim S. Ross,NA,4573,NA,4/25/1991,4/25/1991,4/25/1991,Los Angeles,841 m,"""San Gabriel Mtns: Doe Flat and immediate vicinity, situated between Graveyard Canyon and the E Fk of Susanna Canyon, draining to the lower E Fk of the San Gabriel River.""",34.249167,-117.801667,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),115,NA
1561,RSA588054,Nemophila menziesii var. menziesii,Orlando Mistretta,NA,1048,NA,4/15/1994,4/15/1994,4/15/1994,Los Angeles,1113m,Santiago canyon: W slopes of drainage near confluence with Little Rock Creek.,34.4662,-118.0305,NAD83,Delorme Topo USA,400,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,400
1562,RSA589117,Nemophila menziesii var. menziesii,Tim S. Ross,NA,6103,NA,4/4/1992,4/4/1992,4/4/1992,Los Angeles,1207m,"""Big Rock Creek: ca 0.25 mile S of Big Pines Highway, between the stream and Big Rock Creek Road.""",34.429,-117.8374,WGS84,Google Earth (copied from CAS964706),150,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,150
1563,RSA595452,Nemophila menziesii var. menziesii,"""Tim S. Ross, Victor W. Steinmann""",NA,8570,NA,5/8/1995,5/8/1995,5/8/1995,Los Angeles,1098m,Slopes between Leona Valley and Lost Valley.,34.611667,-118.326111,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),128,NA
1564,RSA597768,Nemophila menziesii var. menziesii,"""Steve Boyd, Lauren Raz""",NA,9180,NA,3/14/1997,3/14/1997,3/14/1997,Los Angeles,1213m,"""Liebre Mountains, lower southeastern flank of Bald Mountain, near head of Liebre Gulch, due west of Sandberg.""",34.74125,-118.717194,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),73,NA
1565,RSA597821,Nemophila menziesii var. menziesii,Louis C. Wheeler,s.n.,NA,NA,4/20/1969,4/20/1969,4/20/1969,Los Angeles,NA,Mt. Emma Road just north of National Forest Boundary; ridge east of Hunt Canyon.,34.499427,-118.061306,WGS84,Google Earth,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),110,500
1566,RSA598872,Nemophila menziesii var. menziesii,"""Steve Boyd, T. S. Ross""",NA,9238,NA,3/21/1997,3/21/1997,3/21/1997,Los Angeles,1195m,"""Liebre Mountains, Portal Ridge, upper Broad Canyon, ca. 1 mile east of VABM King and 1.2 miles east of the junction of Forest Service Roads 7N07 and 7N07A, along the ridgeline dividing Bleich Canyon and Broad Canyon.""",34.7065,-118.480917,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,NA
1567,RSA603648,Nemophila menziesii var. menziesii,Louis C. Wheeler,NA,5913,NA,2/27/1944,2/27/1944,2/27/1944,Monterey,NA,Point Lobos Reserve: NE of China Cove.,36.5156,-121.94211,WGS84,GoogleMaps via BerkeleyMapper (copied from UC604731),990,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),58,990
1568,RSA605958,Nemophila menziesii var. menziesii,"""D. D. Keck, Jens Clausen""",NA,3086,NA,4/9/1935,4/9/1935,4/9/1935,San Luis Obispo,457m,Cholame,35.724,-120.296,NAD27,Terrain Nav. v. 8.7 (copied from SBBG83199),1000,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,1000
1569,RSA607025,Nemophila menziesii var. menziesii,Louis C. Wheeler,s.n.,NA,NA,5/24/1968,5/24/1968,5/24/1968,Los Angeles,1280m,"""San Gabriel Mountains: Northwest slope of Smith Mountain, along Bear Creek Trail.""",34.284317,-117.864724,WGS84,Google Earth (copied from RSA607027),300,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),145,300
1570,RSA608634,Nemophila menziesii var. menziesii,Louis C. Wheeler,s.n.,NA,NA,3/19/1931,3/19/1931,3/19/1931,Los Angeles,NA,Pomona: Ganesha Heights.,34.077121,-117.766439,WGS84,Google Earth,800,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),78,800
1571,RSA611655,Nemophila menziesii var. menziesii,"""Steve Boyd, Lauren Raz, Mike Kinney""",NA,10085,NA,3/17/1998,3/17/1998,3/17/1998,Los Angeles,976m,Liebre Mountains region: Anaverde Valley at north base of Sierra Pelona.,34.543278,-118.159056,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),76,NA
1572,RSA613472,Nemophila menziesii var. menziesii,"""D. L. Banks, Victor W. Steinmann""",NA,1449,NA,3/13/1997,3/13/1997,3/13/1997,Riverside,378m,"""NW Palomar Mountains, Agua Tibia Mountains: In the Redhawk Housing Development, north of the Pechanga Indian Reservation. The hills south of the intersection of Marge Place and Tehachapi Pass (south of Redhawk Parkway).""",33.470278,-117.076944,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),72,NA
1573,RSA674245,Nemophila menziesii var. menziesii,"""LeRoy Gross, Michael Denslow, Mariam Sidibeh, Valerie Soza""",NA,697,NA,2/10/2003,2/10/2003,2/10/2003,Los Angeles,823m,South side; Along dirt road (Brand Park Motorway) to top of crest at Verdugo Motorway. Area burned in Summer-Fall of 2002.,34.203333,-118.264722,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),41,NA
1574,RSA713429,Nemophila menziesii var. menziesii,Daisie Huang,NA,60319,-3,3/19/2006,3/19/2006,3/19/2006,San Luis Obispo,492m,"""roadside of 58-E, east of 101. Sunny flat, gravelly soil.""",35.441917,-120.310267,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),78,NA
1575,RSA717582,Nemophila menziesii var. menziesii,A. C. Sanders,NA,27462,NA,4/9/2004,4/9/2004,4/9/2004,Riverside,488m,"""San Jacinto Valley: Tres Cerritos, ca. 3 miles WNW of Hemet, east of the Lakeview Mtns., in central valley among the three peaks.""",33.761111,-117.026944,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,NA
1576,RSA718849,Nemophila menziesii var. menziesii,R. G. Swinney,NA,3399,NA,3/25/1995,3/25/1995,3/25/1995,San Bernardino,1378m,"""Pinon Hills area at Sheep Creek, 0.9 mi. south of Hwy 138 at Scrub Oak Rd.""",34.406389,-117.605833,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,NA
1577,RSA721505,Nemophila menziesii var. menziesii,R. G. Swinney,NA,3421,NA,4/7/1995,4/7/1995,4/7/1995,San Bernardino,1220m,"""flats immediately S of Spring Hill, W of FS Rd 2No4""",34.208866,-117.666543,WGS84,Google Earth,800,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),97,800
1578,RSA721602,Nemophila menziesii var. menziesii,R. G. Swinney,NA,3558,NA,4/29/1995,4/29/1995,4/29/1995,San Bernardino,945m,"""West of Cajon Wash and south of Hwy 138, c. 1 mile SSW of Cajon Junction, off FS road 3N49.""",34.299722,-117.480278,not recorded,Coordinates provided on label,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),119,NA
1579,RSA729931,Nemophila menziesii var. menziesii,R. G. Swinney,NA,6025,NA,4/14/1998,4/14/1998,4/14/1998,Los Angeles,1512m,"""Southern Mojave Desert: 100 m east of mouth of Mescal Canyon, in Mescal Heights area, 50 m E of 237th St. East""",34.423333,-117.714444,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),104,NA
1580,RSA733445,Nemophila menziesii var. menziesii,R. G. Swinney,NA,7892,NA,4/18/2001,4/18/2001,4/18/2001,Los Angeles,NA,"""San Gabriel Mtns./Mojave Desert: Valyermo area, ridge top ca. 500 m east of south end of Bobs Gap""",34.453056,-117.806944,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),108,NA
1581,RSA745051A,Nemophila menziesii var. menziesii,"""LeRoy Gross, Pam DeVries, Otto Gasser""",NA,3651,NA,3/30/2009,3/30/2009,3/30/2009,Kern,973m,"""West end of the San Emigdio Mountains: Bitter Creek National Wildlife Refuge; Cienaga Canyon, off of Klipstein Canyon Road. Northeast of Cerro Noroeste Road. Near""",34.94695,-119.40093,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),89,NA
1582,RSA747646,Nemophila menziesii var. menziesii,Pam De Vries,NA,7244,NA,4/7/2009,4/7/2009,4/7/2009,Kern,1089m,"""Western Transverse Range; San Emigdio Mountains Region; Bitter Creek National Wildlife Preserve, ca. 1.10 miles east northeast of junction of Cerro Noroeste Road and Klipstein Canyon Road.""",34.942661,-119.381445,WGS84,Google Earth,500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),97,500
1583,RSA751393,Nemophila menziesii var. menziesii,Orlando Mistretta,NA,3541,NA,4/14/2009,4/14/2009,4/14/2009,San Bernardino,1701m,"""Santa Ana River Canyon, Converse Flats. S of Forest Road 1N04, W of Jct. with Radford Road (Forest Rd. 2N05). Along W edge of flat, E side of Hamilton Creek.""",34.19115,-116.91871,NAD83,GPS,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),104,NA
1584,RSA764824,Nemophila menziesii var. menziesii,Stephen Fischer,NA,2104,NA,3/21/2009,3/21/2009,3/21/2009,San Bernardino,850m,Etiwanda foothills. Alongside a second-order perennial stream.,34.186072,-117.523128,WGS84,Google Earth,3,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,3000
1585,RSA770697,Nemophila menziesii var. menziesii,"""Orlando Mistretta, Duncan S. Bell, Jill Beckman, Joy England, Katie Kane, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4803,NA,4/12/2010,4/12/2010,4/12/2010,Riverside,610m,Whitewater Cyn. Along Whitewater River drainage and adjacent slopes below Whitewater Visitor Center (Whitewater Trout Farm).,33.97288,-116.65146,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,NA
1586,RSA770860,Nemophila menziesii var. menziesii,"""Orlando Mistretta, Duncan S. Bell, Joy England, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4928,NA,4/13/2010,4/13/2010,4/13/2010,Riverside,823m,"""Transverse Ranges; San Bernardino Mountains region: Whitewater Canyon. Along Whitewater River drainage and adjacent slopes 1-2 miles above Whitewater Visitor Center (Whitewater Trout Farm)., Between N34.01961, W116.68175 and N34.01041 and W116.67141.""",34.01961,-116.668175,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,NA
1587,RSA772121,Nemophila menziesii var. menziesii,"""Orlando Mistretta, Duncan S. Bell, Joy England, Jamie Hall, Chris McDonald, Lucila Reccia""",NA,4836,NA,4/13/2010,4/13/2010,4/13/2010,Riverside,915m,"""Whitewater Canyon. Along Whitewater River drainage and adjacent slopes 0-1 miles above Whitewater Visitor Center (Whitewater Trout Farm); between N34.00456, W116.67238 and N33.99629 and W116.66010.""",34.02559,-116.69098,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,NA
1588,RSA776228,Nemophila menziesii var. menziesii,"""Thomas Stoughton, Christi Gabriel, Stephanie Rockwood""",NA,876,NA,3/29/2011,3/29/2011,3/29/2011,Riverside,762m,"""Haugen Lehmann exit, Pacific Crest Trail up into canyon east of Cottonwood Canyon""",33.95674,-116.66391,NAD83,GPS,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),88,NA
1589,RSA77919,Nemophila menziesii var. menziesii,"""E. K. Balls, Lee W. Lenz""",NA,17034,NA,4/16/1952,4/16/1952,4/16/1952,Tulare,457m,"""About Bear Creek, roughly 4 miles north of Springville along North Fork Tule River.""",36.177229,-118.796146,WGS84,GeoLocate,3.752,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),107,3752
1590,RSA784260,Nemophila menziesii var. menziesii,J. D. Olmsted,NA,5333,NA,6/24/1962,6/24/1962,6/24/1962,San Bernardino,1585m,"""North of Yucaipa ridge along Oak Glen-Forest Home fireroad, SE San Bernardino Mts.""",34.077884,-116.967137,WGS84,Google Earth,4,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),175,4000
1591,RSA79215,Nemophila menziesii var. menziesii,G. R. Campbell,NA,18513,NA,3/23/1952,3/23/1952,3/23/1952,Los Angeles,427m,canyon north of Webb School; east of Live Oak Canyon.,34.129214,-117.742285,WGS84,Google Earth,800,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),83,800
1592,RSA794025,Nemophila menziesii var. menziesii,"""A. C. Sanders, Mihai Costea, T. B. Salvato, Benjamin T. Wilder""",NA,40166,NA,5/8/2012,5/8/2012,5/8/2012,San Bernardino,1198m,"""Western San Bernardino Mountains: Cajon Pass area, Cleghorn Road (dirt), 2 miles airline east (92 degrees) of Cajon Junction.""",34.311017,-117.438833,not recorded,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),129,NA
1593,SBBG108619,Nemophila menziesii var. menziesii,N. Meng,NA,379,NA,4/30/1967,4/30/1967,4/30/1967,Kern,NA,near Tehachapi Loop monument on old Tehachapi Hwy,35.195066,-118.534846,WGS84,Google Earth,300,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),120,300
1594,SBBG108888,Nemophila menziesii var. menziesii,K. Kirkland,NA,25,NA,4/12/1991,4/12/1991,4/12/1991,San Luis Obispo,609 m,"""East Cuesta Ridge, 2 mi up East Cuesta Ridge Rd from La Cuesta Summit""",35.339,-120.617,NA,MyTopo,1000,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),102,1000
